"t","x","y","z","Absolute"
2.551985458E0,-1.121168518E-1,7.918533325E-2,9.839488678E0,9.840446024E0
2.562026458E0,-1.088237000E-1,7.738906860E-2,9.844727783E0,9.845633387E0
2.572068458E0,-1.154100037E-1,7.634124756E-2,9.847721558E0,9.848693687E0
2.582109458E0,-1.049317932E-1,7.753875732E-2,9.841584320E0,9.842449130E0
2.592151458E0,-1.086740112E-1,7.514373779E-2,9.836045837E0,9.836933177E0
2.602192458E0,-1.199006653E-1,6.406677246E-2,9.831854553E0,9.832794347E0
2.612234458E0,-1.128652954E-1,6.271957397E-2,9.842033386E0,9.842880345E0
2.622275458E0,-1.142124939E-1,7.589218140E-2,9.832752686E0,9.833708837E0
2.632317458E0,-1.112187195E-1,7.349716187E-2,9.832303619E0,9.833207305E0
2.642358458E0,-1.145118713E-1,7.155120850E-2,9.827214203E0,9.828141815E0
2.652400458E0,-1.100212097E-1,8.187973022E-2,9.836794281E0,9.837750286E0
2.662441458E0,-1.071771240E-1,7.948471069E-2,9.849218445E0,9.850122270E0
2.672482708E0,-1.022373962E-1,8.023315430E-2,9.839788055E0,9.840646260E0
2.682523708E0,-1.007405090E-1,7.574249268E-2,9.850266266E0,9.851072585E0
2.692565708E0,-1.097218323E-1,7.529342651E-2,9.841584320E0,9.842483930E0
2.702606708E0,-1.103205872E-1,7.664062500E-2,9.839638367E0,9.840555249E0
2.712648708E0,-1.110690308E-1,7.783813477E-2,9.834998016E0,9.835933158E0
2.722689708E0,-1.222956848E-1,6.691085815E-2,9.847422180E0,9.848408851E0
2.732731708E0,-1.155596924E-1,6.960525513E-2,9.846224670E0,9.847148785E0
2.742772708E0,-1.094224548E-1,7.200027466E-2,9.832153931E0,9.833026402E0
2.752814708E0,-1.118174744E-1,7.544311523E-2,9.828411713E0,9.829337292E0
2.762855708E0,-1.083746338E-1,7.484436035E-2,9.828411713E0,9.829294152E0
2.772897708E0,-1.064286804E-1,7.559280396E-2,9.836195526E0,9.837061744E0
2.782938708E0,-1.052311707E-1,7.694000244E-2,9.833800507E0,9.834664497E0
2.792980708E0,-1.058299255E-1,7.813751221E-2,9.837093658E0,9.837973221E0
2.803021708E0,-1.071771240E-1,7.813751221E-2,9.836045837E0,9.836940079E0
2.813063708E0,-1.122665405E-1,7.185058594E-2,9.842632141E0,9.843534617E0
2.823104708E0,-9.909393311E-2,7.170089722E-2,9.835896149E0,9.836656631E0
2.833146708E0,-1.064286804E-1,7.484436035E-2,9.836794281E0,9.837654724E0
2.843187708E0,-1.128652954E-1,8.053253174E-2,9.840087433E0,9.841064208E0
2.853229708E0,-1.020877075E-1,7.604187012E-2,9.838291168E0,9.839114664E0
2.863270708E0,-1.028361511E-1,7.858657837E-2,9.840686188E0,9.841537267E0
2.873312708E0,-1.029858398E-1,7.873626709E-2,9.836644592E0,9.837498784E0
2.883353708E0,-1.098715210E-1,8.442443848E-2,9.834399261E0,9.835375340E0
2.893395708E0,-1.154100037E-1,7.125183105E-2,9.835147705E0,9.836082893E0
2.903436708E0,-1.197509766E-1,6.735992432E-2,9.837692413E0,9.838651822E0
2.913478708E0,-1.151106262E-1,6.167175293E-2,9.833501129E0,9.834368222E0
2.923519708E0,-1.184037781E-1,7.155120850E-2,9.833800507E0,9.834773583E0
2.933561708E0,-1.091230774E-1,6.331832886E-2,9.832902374E0,9.833711718E0
2.943602708E0,-1.219963074E-1,6.286926270E-2,9.836494904E0,9.837452294E0
2.953644708E0,-1.213975525E-1,7.125183105E-2,9.838141479E0,9.839148437E0
2.963685708E0,-1.056802368E-1,7.544311523E-2,9.843829651E0,9.844685986E0
2.973727708E0,-9.729766846E-2,8.277786255E-2,9.835147705E0,9.835977297E0
2.983768708E0,-1.064286804E-1,8.232879639E-2,9.829160156E0,9.830081102E0
2.993810708E0,-1.059796143E-1,8.696914673E-2,9.841584320E0,9.842539166E0
3.003851708E0,-9.265731812E-2,7.409591675E-2,9.843829651E0,9.844544569E0
3.013893708E0,-1.013392639E-1,7.559280396E-2,9.835147705E0,9.835960263E0
3.023934708E0,-1.046324158E-1,6.750961304E-2,9.834698639E0,9.835486913E0
3.033976708E0,-1.092727661E-1,6.212081909E-2,9.836045837E0,9.836848949E0
3.044017708E0,-1.074765015E-1,6.346801758E-2,9.834998016E0,9.835790023E0
3.054059708E0,-1.077758789E-1,7.140151978E-2,9.835896149E0,9.836745746E0
3.064100708E0,-1.064286804E-1,7.888595581E-2,9.832602997E0,9.833495398E0
3.074142708E0,-1.176553345E-1,8.143066406E-2,9.839488678E0,9.840529009E0
3.084183708E0,-1.119671631E-1,8.622070312E-2,9.837393036E0,9.838408022E0
3.094225708E0,-1.137634277E-1,8.232879639E-2,9.838740234E0,9.839742352E0
3.104266708E0,-1.209484863E-1,7.993377686E-2,9.842931519E0,9.843999128E0
3.114308708E0,-1.266366577E-1,7.454498291E-2,9.840087433E0,9.841184608E0
3.124349708E0,-1.261875916E-1,6.990463257E-2,9.835147705E0,9.836205587E0
3.134391708E0,-1.185534668E-1,6.376739502E-2,9.830956421E0,9.831878018E0
3.144432708E0,-1.140628052E-1,5.882766724E-2,9.830657043E0,9.831494745E0
3.154474708E0,-1.131646729E-1,7.214996338E-2,9.842482452E0,9.843397416E0
3.164515708E0,-9.969268799E-2,7.843688965E-2,9.831106110E0,9.831924446E0
3.174557708E0,-8.187973022E-2,8.532257080E-2,9.836644592E0,9.837355390E0
3.184598708E0,-9.475296021E-2,8.128097534E-2,9.840686188E0,9.841478007E0
3.194640708E0,-9.984237671E-2,7.888595581E-2,9.835896149E0,9.836719196E0
3.204681708E0,-1.037342834E-1,7.484436035E-2,9.839039612E0,9.839871085E0
3.214723708E0,-1.085243225E-1,6.855743408E-2,9.838440857E0,9.839278233E0
