"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.431797832E0,-9.952545166E-3,2.978798747E-2,-1.479121447E-1
3.450812728E0,-9.692192078E-3,-1.269310713E-3,-1.506974697E-1
3.469827624E0,-1.643848419E-2,4.711270332E-3,-1.247674227E-1
3.488842520E0,-3.900718689E-2,4.083096981E-3,-1.147674322E-1
3.507857416E0,-1.601791382E-2,-3.411635756E-2,-1.099476814E-1
3.526872312E0,-9.909629822E-3,-6.698191166E-2,-1.240308285E-1
3.545887207E0,-1.859474182E-2,-4.724407196E-2,-1.434557438E-1
3.564902103E0,-1.723670959E-2,-2.419537306E-2,-1.472940445E-1
3.583916999E0,-4.623603821E-2,-5.448682606E-2,-1.328763962E-1
3.602931895E0,-3.470325470E-2,-6.686700881E-2,-1.064097881E-1
3.621946791E0,-1.434803009E-2,-6.297080219E-2,-8.043682575E-2
3.640961687E0,-1.992607117E-2,-4.214063287E-2,-6.863665581E-2
3.659976582E0,-1.967144012E-2,-4.627296329E-2,-7.603609562E-2
3.678991478E0,-2.540874481E-2,-4.388329387E-2,-8.935379982E-2
3.698006374E0,-1.541709900E-2,-2.188268304E-2,-7.498264313E-2
3.717021270E0,-2.729606628E-2,-2.691397071E-2,-7.776463032E-2
3.736036218E0,-1.948451996E-2,-3.922677040E-2,-9.250617027E-2
3.755051114E0,-7.134437561E-3,-3.362396359E-2,-1.058433056E-1
3.774066010E0,-2.964687347E-2,-2.818867564E-2,-7.307767868E-2
3.793080905E0,-3.083801270E-2,-4.197607934E-2,-6.174194813E-2
3.812095801E0,1.089000702E-2,-6.703491509E-2,-7.708668709E-2
3.831110697E0,2.477645874E-3,-6.064200401E-2,-5.870151520E-2
3.850125593E0,-4.695320129E-2,1.126870513E-2,-4.763638973E-2
3.869140489E0,-9.225845337E-3,2.534928918E-2,-6.569838524E-2
3.888155385E0,-6.909370422E-3,7.877171040E-3,-9.370434284E-2
3.907170280E0,-4.558372498E-2,2.680957317E-3,-1.017597914E-1
3.926185176E0,-2.238082886E-2,1.906138659E-2,-9.577524662E-2
3.945200072E0,5.197525024E-3,5.773872137E-3,-9.499979019E-2
3.964214968E0,-1.326847076E-2,-7.145941257E-3,-8.650338650E-2
3.983229864E0,-4.221916199E-3,-2.348184586E-2,-9.066617489E-2
4.002244760E0,6.881713867E-3,-2.427294850E-2,-1.394748688E-1
4.021259655E0,-1.650810242E-3,1.697346568E-2,-1.754785776E-1
