"t","p"
2.400798348E1,9.879796753E2
2.404798489E1,9.880056152E2
2.408798124E1,9.879849854E2
2.412798249E1,9.880264282E2
2.416797780E1,9.879926147E2
2.420798244E1,9.879926147E2
2.424798432E1,9.880314941E2
2.428797822E1,9.880238647E2
2.432798572E1,9.880030518E2
2.436798020E1,9.880213013E2
2.440798327E1,9.880240479E2
2.444798166E1,9.879979248E2
2.448798020E1,9.880109253E2
2.452797994E1,9.880187378E2
2.456797760E1,9.879875488E2
2.460798333E1,9.879928589E2
2.464797723E1,9.880134277E2
2.468798254E1,9.879953613E2
2.472798494E1,9.880159912E2
2.476798546E1,9.880264282E2
2.480797780E1,9.880213013E2
2.484798749E1,9.880419312E2
2.488798197E1,9.880289917E2
2.492798046E1,9.880368042E2
2.496798046E1,9.879977417E2
2.500797760E1,9.880003052E2
2.504797879E1,9.880003052E2
2.508798275E1,9.879928589E2
2.512798135E1,9.880028076E2
2.516798228E1,9.880109253E2
2.520798327E1,9.879953613E2
2.524798103E1,9.880211182E2
2.528798145E1,9.880109253E2
2.532797984E1,9.880134277E2
2.536797770E1,9.880159912E2
2.540798312E1,9.880211182E2
2.544798385E1,9.880056152E2
2.548797827E1,9.880261841E2
2.552798098E1,9.880109253E2
2.556797885E1,9.879694824E2
2.560798369E1,9.880032349E2
2.564798046E1,9.880081177E2
2.568797744E1,9.880004883E2
2.572798296E1,9.879875488E2
2.576797994E1,9.879953613E2
2.580798692E1,9.879694824E2
2.584798312E1,9.879875488E2
2.588798322E1,9.879926147E2
2.592798322E1,9.879977417E2
2.596797739E1,9.879875488E2
2.600798015E1,9.879900513E2
2.604798317E1,9.879590454E2
2.608798463E1,9.879953613E2
2.612798077E1,9.880134277E2
2.616798426E1,9.880056152E2
2.620797780E1,9.879798584E2
2.624798432E1,9.880028076E2
2.628797905E1,9.879953613E2
2.632797947E1,9.880057983E2
2.636797968E1,9.879953613E2
2.640798520E1,9.880162354E2
2.644797947E1,9.880317383E2
2.648798442E1,9.880731812E2
2.652797895E1,9.880653076E2
2.656798046E1,9.880396118E2
2.660798072E1,9.880756836E2
2.664798364E1,9.880888672E2
2.668797838E1,9.880601807E2
2.672798624E1,9.880910034E2
2.676798239E1,9.880627441E2
2.680798796E1,9.880810547E2
2.684798629E1,9.880576782E2
2.688798447E1,9.880731812E2
2.692798442E1,9.880629883E2
2.696797864E1,9.880810547E2
2.700798155E1,9.881016235E2
2.704798234E1,9.880939941E2
2.708797754E1,9.880759277E2
2.712798478E1,9.880965576E2
2.716798103E1,9.880912476E2
2.720798332E1,9.881146240E2
2.724798051E1,9.881222534E2
2.728797926E1,9.881041870E2
2.732798072E1,9.881196899E2
2.736797822E1,9.880884399E2
2.740798103E1,9.880703735E2
2.744798072E1,9.880599976E2
2.748797801E1,9.880264282E2
2.752798046E1,9.880211182E2
2.756797952E1,9.880706177E2
2.760798057E1,9.880601807E2
2.764798155E1,9.880523682E2
2.768797900E1,9.880678711E2
2.772798010E1,9.880238647E2
2.776797754E1,9.880444946E2
2.780798020E1,9.880419312E2
2.784798432E1,9.880211182E2
2.788798671E1,9.880289917E2
2.792797806E1,9.880264282E2
2.796798536E1,9.880159912E2
2.800798306E1,9.880368042E2
2.804798098E1,9.880238647E2
2.808798197E1,9.880393677E2
2.812797932E1,9.880109253E2
2.816798051E1,9.880444946E2
2.820798905E1,9.880238647E2
2.824798958E1,9.880238647E2
2.828797952E1,9.880314941E2
2.832798129E1,9.880109253E2
2.836798197E1,9.880030518E2
2.840798083E1,9.880109253E2
2.844798468E1,9.880056152E2
2.848797822E1,9.880030518E2
2.852798332E1,9.880003052E2
2.856798890E1,9.880106812E2
2.860798135E1,9.880056152E2
2.864797838E1,9.880081177E2
2.868798676E1,9.879977417E2
2.872797838E1,9.879822388E2
2.876798155E1,9.880238647E2
2.880798312E1,9.880056152E2
2.884798145E1,9.880419312E2
2.888797859E1,9.880264282E2
2.892798463E1,9.880056152E2
2.896797796E1,9.880187378E2
2.900798567E1,9.879926147E2
2.904798379E1,9.880109253E2
2.908798025E1,9.879796753E2
2.912798270E1,9.879875488E2
2.916797874E1,9.879951782E2
2.920798411E1,9.880211182E2
2.924797796E1,9.880185547E2
2.928798077E1,9.880134277E2
2.932797900E1,9.879900513E2
2.936797905E1,9.880289917E2
2.940798958E1,9.879953613E2
2.944798030E1,9.880030518E2
2.948797859E1,9.880083618E2
2.952798760E1,9.880081177E2
2.956798004E1,9.880187378E2
2.960798155E1,9.880185547E2
2.964797885E1,9.880261841E2
2.968797921E1,9.880056152E2
2.972797760E1,9.880081177E2
2.976798208E1,9.880081177E2
2.980798020E1,9.880083618E2
2.984798275E1,9.879902954E2
2.988798280E1,9.880060425E2
2.992798963E1,9.879951782E2
2.996798109E1,9.879902954E2
3.000801171E1,9.880134277E2
3.004798129E1,9.879979248E2
3.008798827E1,9.880056152E2
3.012797780E1,9.879773560E2
3.016798416E1,9.880109253E2
3.020798030E1,9.880185547E2
3.024798582E1,9.880134277E2
3.028798145E1,9.880238647E2
3.032798463E1,9.880162354E2
3.036797770E1,9.880004883E2
3.040798442E1,9.880238647E2
3.044798832E1,9.880289917E2
3.048798187E1,9.879979248E2
3.052798343E1,9.880213013E2
3.056798046E1,9.880159912E2
3.060798411E1,9.879851685E2
3.064798098E1,9.879953613E2
3.068798452E1,9.880083618E2
3.072798426E1,9.879537354E2
3.076797926E1,9.880028076E2
3.080798010E1,9.880264282E2
3.084797780E1,9.879953613E2
3.088798129E1,9.880162354E2
3.092798208E1,9.880060425E2
3.096798234E1,9.879956055E2
3.100797869E1,9.880136719E2
3.104798296E1,9.880185547E2
3.108797968E1,9.880187378E2
3.112798056E1,9.880006714E2
3.116798030E1,9.879875488E2
3.120797869E1,9.880368042E2
3.124797833E1,9.880185547E2
3.128798020E1,9.880106812E2
3.132797952E1,9.880060425E2
3.136798109E1,9.879951782E2
3.140798864E1,9.880083618E2
3.144798150E1,9.880056152E2
3.148798124E1,9.879928589E2
3.152798213E1,9.880343018E2
3.156797968E1,9.880266113E2
3.160798109E1,9.879666748E2
3.164798082E1,9.880081177E2
3.168798093E1,9.880106812E2
3.172798510E1,9.880081177E2
3.176797786E1,9.880056152E2
3.180798338E1,9.880081177E2
3.184798494E1,9.879875488E2
3.188797989E1,9.880081177E2
3.192798405E1,9.880261841E2
3.196798385E1,9.880056152E2
3.200798489E1,9.880393677E2
3.204797744E1,9.880187378E2
3.208798520E1,9.880159912E2
3.212798124E1,9.880213013E2
3.216798088E1,9.879928589E2
3.220798051E1,9.879953613E2
3.224798202E1,9.880032349E2
3.228797916E1,9.880056152E2
3.232798520E1,9.880159912E2
3.236798041E1,9.880264282E2
3.240798187E1,9.880472412E2
3.244798072E1,9.880159912E2
3.248798046E1,9.879849854E2
3.252798260E1,9.880056152E2
3.256798671E1,9.880030518E2
3.260798286E1,9.880261841E2
3.264798161E1,9.879953613E2
3.268798202E1,9.880030518E2
3.272797859E1,9.879951782E2
3.276797765E1,9.880159912E2
3.280798411E1,9.880004883E2
3.284798109E1,9.880111084E2
3.288798848E1,9.880213013E2
3.292797812E1,9.879900513E2
3.296797786E1,9.880056152E2
3.300798239E1,9.880030518E2
3.304799129E1,9.880134277E2
3.308798176E1,9.879745483E2
3.312799166E1,9.880187378E2
3.316798359E1,9.879977417E2
3.320800338E1,9.879875488E2
3.324798692E1,9.880187378E2
3.328798202E1,9.879979248E2
3.332798353E1,9.879639282E2
3.336797968E1,9.880004883E2
3.340797916E1,9.880056152E2
3.344798416E1,9.880134277E2
3.348798489E1,9.880289917E2
3.352798150E1,9.879798584E2
3.356798182E1,9.880187378E2
3.360797723E1,9.880004883E2
3.364798541E1,9.880368042E2
3.368797853E1,9.879953613E2
3.372798952E1,9.880056152E2
3.376798197E1,9.880264282E2
3.380797937E1,9.880238647E2
3.384797770E1,9.880289917E2
3.388798905E1,9.880109253E2
3.392798473E1,9.880004883E2
3.396798192E1,9.880264282E2
3.400798900E1,9.880030518E2
3.404797905E1,9.880162354E2
3.408798218E1,9.879979248E2
3.412798338E1,9.880134277E2
3.416797921E1,9.879953613E2
3.420798796E1,9.879953613E2
3.424798374E1,9.880213013E2
3.428798254E1,9.880289917E2
3.432798135E1,9.880159912E2
3.436798364E1,9.880109253E2
3.440798640E1,9.879953613E2
3.444798833E1,9.880030518E2
3.448798197E1,9.880004883E2
3.452798124E1,9.880240479E2
3.456797994E1,9.880134277E2
